Country_Code,Short_Name,Long_Name,2-alpha_code,Currency_Unit,Region,Income_Group,WB-2_code,National_accounts_base_year,National_accounts_reference_year,SNA_price_valuation,Lending_category,Other_groups,System_of_National_Accounts,Alternative_conversion_factor,PPP_survey_year,Balance_of_Payments_Manual_in_use,External_debt_Reporting_status,System_of_trade,Government_Accounting_concept,IMF_data_dissemination_standard,Latest_population_census,Latest_household_survey,Source_of_most_recent_Income_and_expenditure_data,Vital_registration_complete,Latest_agricultural_census,Latest_industrial_ data,Latest_trade_data,Latest_water_withdrawal_data
ATG,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,Latin America & Caribbean,High income: nonOECD,AG,2006,2012,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1968 System of National Accounts methodology.,1992–95,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2006","Expenditure survey/budget survey (ES/BS), 1994",Yes,2007,2010,2012,2005
AUS,Australia,Commonwealth of Australia,AU,Australian dollar,East Asia & Pacific,High income: OECD,AU,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 2008 System of National Accounts methodology.,1992–95,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2006","Expenditure survey/budget survey (ES/BS), 1994",Yes,2011,2010,2012,2000
AUT,Austria,Republic of Austria,AT,Euro,Europe & Central Asia,High income: OECD,AT,2005,2002,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population figures compiled from administrative registers.,"Demographic and Health Survey (DHS), 2006","Income survey (IS), 2000",Yes,2010,2009,2012,2002
AZE,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,Europe & Central Asia,Upper middle income,AZ,2000,2002,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2006","Expenditure survey/budget survey (ES/BS), 2012",Yes,2015,2010,2012,2005
BDI,Burundi,Republic of Burundi,BI,Burundi franc,Sub-Saharan Africa,Low income,BI,2005,2002,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2006",Yes,2010,2009,2012,2000
BEL,Belgium,Kingdom of Belgium,BE,Euro,Europe & Central Asia,High income: OECD,BE,2005,2002,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1992,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2000",Yes,2010,2009,2012,2007
BEN,Benin,Republic of Benin,BJ,CFA franc,Sub-Saharan Africa,Low income,BJ,1985,2002,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011",Yes,2011/12,2010,2010,2001
BFA,Burkina Faso,Burkina Faso,BF,CFA franc,Sub-Saharan Africa,Low income,BF,1999,2002,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2010","Core Welfare Indicator Questionnaire Survey (CWIQ), 2009",Yes,2010,2010,2011,2001
BGD,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,South Asia,Low income,BD,1995/96,2002,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,"1978–89, 1991–92",2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2011","Integrated household survey (IHS), 2010",Yes,2008,2010,2007,2008
BGR,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,Europe & Central Asia,Upper middle income,BG,Original chained constant price data are rescaled.,2002,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,"1978–89, 1991–92",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Living Standards Measurement Study Survey (LSMS), 2007","Expenditure survey/budget survey (ES/BS), 2007",Yes,2010,2010,2012,2009
BHR,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,Middle East & North Africa,High income: nonOECD,BH,1985,1996,Value added at producer prices (VAP),IBRD,HIPC,Country uses the 1968 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011/12","Living Standards Measurement Study Survey (LSMS), 2007",Yes,2013,2009,2011,2003
BHS,The Bahamas,Commonwealth of The Bahamas,BS,Bahamian dollar,Latin America & Caribbean,High income: nonOECD,BS,2006,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011/12","Living Standards Measurement Study Survey (LSMS), 2007",Yes,2013,2009,2012,2009
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark,Europe & Central Asia,Upper middle income,BA,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011/12","Living Standards Measurement Study Survey (LSMS), 2007",Yes,2013,2009,2012,2009
BLR,Belarus,Republic of Belarus,BY,Belarusian rubel,Europe & Central Asia,Upper middle income,BY,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2013,2009,2012,2000
BLZ,Belize,Belize,BZ,Belize dollar,Latin America & Caribbean,Upper middle income,BZ,2000,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1960–85,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2011",Yes,2013,2001,2012,2000
BMU,Bermuda,The Bermudas,BM,Bermuda dollar,North America,High income: nonOECD,BM,2006,2000,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1960–85,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2008","Integrated household survey (IHS), 2009",Yes,2013,2001,2012,2000
BOL,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,Latin America & Caribbean,Lower middle income,BO,1990,2000,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,1960–85,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2008","Integrated household survey (IHS), 2009",Yes,2013,2001,2012,2000
BRA,Brazil,Federative Republic of Brazil,BR,Brazilian real,Latin America & Caribbean,Upper middle income,BR,2000,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2006,2010,2012,2006
BRB,Barbados,Barbados,BB,Barbados dollar,Latin America & Caribbean,High income: nonOECD,BB,1974,2000,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2012",Yes,2010. Population and Housing Census.,2010,2012,2005
BRN,Brunei,Brunei Darussalam,BN,Brunei dollar,East Asia & Pacific,High income: nonOECD,BN,2000,2000,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2012",Yes,2009,2010,2012,1994
BTN,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum,South Asia,Lower middle income,BT,2000,2000,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2012",Yes,2009,2010,2011,2008
BWA,Botswana,Republic of Botswana,BW,Botswana pula,Sub-Saharan Africa,Upper middle income,BW,2006,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 1988","Expenditure survey/budget survey (ES/BS), 2009/10",Yes,2011. Population and Housing Census.,2010,2012,2000
CAF,Central African Republic,Central African Republic,CF,CFA franc,Sub-Saharan Africa,Low income,CF,2000,2000,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2003,"Multiple Indicator Cluster Survey (MICS), 2010","Priority survey (PS), 2008",Yes,2011,2010,2011,2005
CAN,Canada,Canada,CA,Canadian dollar,North America,High income: OECD,CA,2005,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1978–93,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"National Sample Survey on Population Change (NSS), 2007","Labor force survey (LFS), 2000",Yes,2011,2010,2012,1986
CHE,Switzerland,Switzerland,CH,Swiss franc,Europe & Central Asia,High income: OECD,CH,2005,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,Rolling,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Sample Survey on Population Change (NSS), 2007","Expenditure survey/budget survey (ES/BS), 2000",Yes,2008,2007,2012,2000
CHL,Chile,Republic of Chile,CL,Chilean peso,Latin America & Caribbean,High income: OECD,CL,2008,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"National Sample Survey on Population Change (NSS), 2007","Integrated household survey (IHS), 2011",Yes,2007,2008,2012,2007
CHN,China,People's Republic of China,CN,Chinese yuan,East Asia & Pacific,Upper middle income,CN,2000,2000,Value added at producer prices (VAP),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"National Sample Survey on Population Change (NSS), 2007","Integrated household survey (IHS), 2008",Yes,2007,2007,2012,2005
CIV,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,CFA franc,Sub-Saharan Africa,Lower middle income,CI,1996,2000,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1999–2001,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2008",Yes,2014,2002,2012,2005
CMR,Cameroon,Republic of Cameroon,CM,CFA franc,Sub-Saharan Africa,Lower middle income,CM,2000,2000,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1999–2001,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2007",Yes,2013,2002,2012,2000
COD,Dem. Rep. Congo,Democratic Republic of the Congo,CD,Congolese franc,Sub-Saharan Africa,Low income,ZR,2005,2000,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1999–2001,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1984,"Demographic and Health Survey (DHS), 2013","1-2-3 survey (1-2-3), 2004/05",Yes,2013,2009,2010,2005
COG,Congo,Republic of Congo,CG,CFA franc,Sub-Saharan Africa,Lower middle income,CG,1990,2000,Value added at producer prices (VAP),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",Yes,2013,2009,2010,2002
COL,Colombia,Republic of Colombia,CO,Colombian peso,Latin America & Caribbean,Upper middle income,CO,2005,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–94,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012",Yes,2013,2010,2012,2000
COM,Comoros,Union of the Comoros,KM,Comorian franc,Sub-Saharan Africa,Low income,KM,1990,2000,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2003,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2004",Yes,2014,2010,2009,1999
CPV,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,Sub-Saharan Africa,Lower middle income,CV,2007,2000,Value added at producer prices (VAP),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2005","Expenditure survey/budget survey (ES/BS), 2007",Yes,2014,2010,2012,2001
CRI,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,Latin America & Caribbean,Upper middle income,CR,1991,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012",Yes,2014,2010,2012,1997
CUB,Cuba,Republic of Cuba,CU,Cuban peso,Latin America & Caribbean,Upper middle income,CU,2005,2000,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2010/11","Income survey (IS), 1996",Yes,2010,2010,2006,2007
CUW,Curaçao,Curaçao,CW,Netherlands Antilles guilder,Latin America & Caribbean,High income: nonOECD,CW,2007,2000,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Income survey (IS), 1996",Yes,2010,2010,2012,2009
CYM,Cayman Islands,Cayman Islands,KY,Cayman Islands dollar,Latin America & Caribbean,High income: nonOECD,KY,2007,2000,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Income survey (IS), 1996",Yes,2010,2010,2012,2009
CYP,Cyprus,Republic of Cyprus,CY,Euro,Europe & Central Asia,High income: nonOECD,CY,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Income survey (IS), 1996",Yes,2010,2010,2012,2009
CZE,Czech Republic,Czech Republic,CZ,Czech koruna,Europe & Central Asia,High income: OECD,CZ,2005,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Income survey (IS), 1996",Yes,2010,2007,2012,2007
DEU,Germany,Federal Republic of Germany,DE,Euro,Europe & Central Asia,High income: OECD,DE,2005,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2006","Integrated household survey (IHS), 2000",Yes,2010,2009,2012,2007
DJI,Djibouti,Republic of Djibouti,DJ,Djibouti franc,Middle East & North Africa,Lower middle income,DJ,1990,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2006","Priority survey (PS), 2002",Yes,2010,2009,2009,2000
DMA,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,Latin America & Caribbean,Upper middle income,DM,2006,2005,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2013","Income tax registers (ITR), 1997",Yes,2010,2009,2012,2004
DNK,Denmark,Kingdom of Denmark,DK,Danish krone,Europe & Central Asia,High income: OECD,DK,2005,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2013","Income tax registers (ITR), 1997",Yes,2010,2009,2012,2009
DOM,Dominican Republic,Dominican Republic,DO,Dominican peso,Latin America & Caribbean,Upper middle income,DO,1991,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2012",Yes,2012/13,2008,2012,2005
DZA,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,Middle East & North Africa,Upper middle income,DZ,1980,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1968 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",Yes,2013/15,2008,2012,2001
EAP,East Asia & Pacific (developing only),East Asia & Pacific (developing only),4E,U.S. dollar,Latin America & Caribbean,Upper middle income,4E,2007,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012",Yes,2013/15,2008,2012,2005
EAS,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),Z4,U.S. dollar,Latin America & Caribbean,Upper middle income,Z4,2007,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012",Yes,2013/15,2008,2012,2005
ECA,Europe & Central Asia (developing only),Europe & Central Asia (developing only),7E,U.S. dollar,Latin America & Caribbean,Upper middle income,7E,2007,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012",Yes,2013/15,2008,2012,2005
